🕘️更新时间,#genre#
浙江卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010070$订阅源
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8$订阅源
浙江卫视,http://l.cztvcloud.com/channels/lantian/SXpinghu3/720p.m3u8$订阅源
浙江卫视,http://l.cztvcloud.com/channels/lantian/SXpinghu3/720p.m3u8$订阅源
浙江卫视,http://ali-vl.cztv.com/channels/lantian/channel001/360p.m3u8$订阅源
浙江卫视,http://ali-vl.cztv.com/channels/lantian/channel001/360p.m3u8$订阅源
湖南卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010058$订阅源
北京卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010143$订阅源
北京卫视,https://smart.pendy.dpdns.org/Smart.php?id=beijing$订阅源
湖北卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010057$订阅源
湖北卫视,https://smart.pendy.dpdns.org/Smart.php?id=hubei$订阅源
黑龙江卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010056$订阅源
黑龙江卫视,http://l.cztvcloud.com/channels/lantian/SXyuyao3/720p.m3u8$订阅源
黑龙江卫视,https://epg.pw/stream/c6c1262d0b35e59eac22bf513395f00f8b60cc5eab41f598412cdf8269312f32.m3u8$订阅源
安徽卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226391$订阅源
重庆卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010053$订阅源
东方卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010054$订阅源
东方卫视,https://epg.pw/stream/6aec3ea636542c53729b5c9dd290864ab04d4a69d2b9cb7864a9898779915898.m3u8$订阅源
东南卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010096$订阅源
东南卫视,http://live.zohi.tv/video/s10001-fztv-3/index.m3u8$订阅源
东南卫视,http://live.zohi.tv/video/s10001-fztv-3/index.m3u8$订阅源
东南卫视,https://smart.pendy.dpdns.org/Smart.php?id=fujian$订阅源
甘肃卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010098$订阅源
甘肃卫视,http://live.zohi.tv/video/s10001-fztv-3/index.m3u8$订阅源
广西卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226549$订阅源
广西卫视,https://hlscdn.liangtv.cn/live/de0f97348eb84f62aa6b7d8cf0430770/dd505d87880c478f901f38560ca4d4e6.m3u8$订阅源
广西卫视,https://hlscdn.liangtv.cn/live/de0f97348eb84f62aa6b7d8cf0430770/dd505d87880c478f901f38560ca4d4e6.m3u8$订阅源
广西卫视,https://hlscdn.liangtv.cn/live/0c4ef3a44b934cacb8b47121dfada66c/d7e04258157b480dae53883cc6f8123b.m3u8$订阅源
广西卫视,https://smart.pendy.dpdns.org/Smart.php?id=guangxi$订阅源
贵州卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226474$订阅源
海南卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010083$订阅源
河北卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010101$订阅源
河北卫视,https://jwplay.hebyun.com.cn/live/hbwstv/1500k/tzwj_video.m3u8$订阅源
河北卫视,https://jwplay.hebyun.com.cn/live/hbwstv/1500k/tzwj_video.m3u8$订阅源
河南卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226480$订阅源
吉林卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010075$订阅源
江苏卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010059$订阅源
江西卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010060$订阅源
辽宁卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226546$订阅源
辽宁卫视,https://www.goodiptv.club/douyu/9403738$订阅源
辽宁卫视,https://www.goodiptv.club/douyu/9403738$订阅源
内蒙古卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225634$订阅源
内蒙古卫视,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8$订阅源
宁夏卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010110$订阅源
青海卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010111$订阅源
山东卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010066$订阅源
山东卫视,http://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8$订阅源
山西卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010114$订阅源
山西卫视,http://cc02.tv12.xyz/8.m3u8$订阅源
山西卫视,http://cc02.tv12.xyz/8.m3u8$订阅源
陕西卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010113$订阅源
四川卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226338$订阅源
深圳卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010068$订阅源
深圳卫视,https://smart.pendy.dpdns.org/Smart.php?id=shenzhen$订阅源
天津卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226459$订阅源
西藏卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225638$订阅源
西藏卫视,http://php.jdshipin.com:8880/xztv.php?id=ws$订阅源
西藏卫视,http://php.jdshipin.com/xztv.php?id=ws$订阅源
西藏卫视,http://cc02.tv12.xyz/9.m3u8$订阅源
新疆卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225635$订阅源
新疆卫视,http://cc02.tv12.xyz/10.m3u8$订阅源
云南卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226444$订阅源

🌊港·澳·台,#genre#
翡翠台,http://cdn6.163189.xyz/163189/fct4k$订阅源
翡翠台,http://cdn6.163189.xyz/163189/fct4k$订阅源
翡翠台,https://o11.163189.xyz/stream/tvb/fct4k/$订阅源
翡翠台,https://o11.163189.xyz/stream/tvb/fct4k/$订阅源
翡翠台,https://cdn3.163189.xyz/live/fct/stream.m3u8$订阅源
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3&token=512df05ba47edb46400575c93e179adb7981226d414516400ed1d382cb126adc517715d4ccd3a2276bf3c7b72d52f58905225cf0b1cc461b7888443f$订阅源
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct3$订阅源
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct$订阅源
明珠台,http://php.jdshipin.com:8880/smt.php?id=pearl_twn$订阅源
明珠台,http://php.jdshipin.com/smt.php?id=pearl_twn$订阅源
明珠台,http://php.jdshipin.com/TVOD/iptv.php?id=mzt2$订阅源
明珠台,http://php.jdshipin.com/TVOD/iptv.php?id=mzt$订阅源
明珠台,https://mytv.cdn.loc.cc/o12.php?id=mzt$订阅源
明珠台,http://r.jdshipin.com/ZQ4kN$订阅源
明珠台,http://r.jdshipin.com/ZQ4kN$订阅源
明珠台,http://r.jdshipin.com/jUx8K$订阅源
凤凰中文,http://cdn6.163189.xyz/163189/fhzw$订阅源
凤凰中文,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw$订阅源
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw$订阅源
凤凰中文,http://php.jdshipin.com/PLTV/iptv.php?id=fhzw$订阅源
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw2$订阅源
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php$订阅源
凤凰中文,https://cdn6.101.qzz.io/163189/fhzw$订阅源
凤凰中文,https://cdn6.101.qzz.io/163189/fhzw$订阅源
凤凰资讯,https://cdn3.163189.xyz/live/fhzx/stream.m3u8$订阅源
凤凰资讯,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx$订阅源
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx$订阅源
凤凰资讯,http://php.jdshipin.com/PLTV/iptv.php?id=fhzx$订阅源
凤凰资讯,http://php.jdshipin.com:8880/smt.php?id=phoenixinfo_hd$订阅源
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx2$订阅源
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php$订阅源
凤凰资讯,http://php.jdshipin.com/iptv.php?id=fhzx$订阅源
凤凰香港,http://cdn6.163189.xyz/163189/fhhk$订阅源
凤凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk$订阅源
凤凰香港,http://php.jdshipin.com/PLTV/iptv.php?id=fhhk$订阅源
凤凰香港,http://php.jdshipin.com:8880/smt.php?id=hkphoenix_twn$订阅源
凤凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk2$订阅源
凤凰香港,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhhk$订阅源
凤凰香港,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhhk2$订阅源
凤凰香港,https://cdn6.101.qzz.io/163189/fhhk$订阅源
凤凰卫视,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw$订阅源
凤凰卫视,http://php.jdshipin.com:8880/smt.php?id=phoenixtv_hd$订阅源
凤凰卫视,http://api.kkitv.itv888.vip:8080/streams/vny1wblsnch/index.m3u8$订阅源
凤凰卫视,https://smart.pendy.dpdns.org/Smart.php?id=phoenixtv_hd$订阅源
TVBS亚洲,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8?zshijd$LR•IPV4『线路8』
TVBS亚洲,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8?zshijd$LR•IPV4『线路8』
纬来体育,https://epg.pw/stream/8855a9936e37e608a0ec8a014cce1673dee9c5d68d560da376cc92e5edef2b25.m3u8$订阅源
纬来体育,https://epg.pw/stream/ab6df63b64d0cc44a1f4f029ed847a26fa54a7aebd455578fb05a63f02c22f4b.m3u8$订阅源
纬来体育,https://epg.pw/stream/4f18dfe0593db5c686eb64ae8edaf2a9202d4d46bdc9bbde2cee27708e12ea01.m3u8$订阅源
纬来体育,https://smart.pendy.dpdns.org/Smart.php?id=videolandsport$订阅源
无线新闻,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbxw$订阅源
三立新闻,https://epg.pw/stream/6b49e3faa38adda85abab446f032dc1e686baa0760a9cfa66e2df8fd6fe3b445.m3u8$订阅源
东森综合,https://smart.pendy.dpdns.org/Smart.php?id=ettvzhonghe$订阅源
东森超视,https://smart.pendy.dpdns.org/Smart.php?id=ettvsuper$订阅源
东森电影,https://smart.pendy.dpdns.org/Smart.php?id=ettvmovie$订阅源

🎥咪咕直播,#genre#

🏀体育频道,#genre#
CCTV-5,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226019$订阅源
CCTV-5,https://smart.pendy.dpdns.org/Smart.php?id=cctv5$订阅源
CCTV-5+,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225603$订阅源
CCTV-5+,https://smart.pendy.dpdns.org/Smart.php?id=cctv5plus$订阅源
广东体育,http://php.jdshipin.com/PLTV/iptv.php?id=gdty$订阅源
广东体育,http://php.jdshipin.com/TVOD/iptv.php?id=gdty$订阅源
广东体育,https://epg.pw/stream/7b470f9fc5c305db0c8622117b7b25ca00eb35ba3e93e865cf0ff9df5c736681.m3u8$订阅源
五星体育,https://cdn3.163189.xyz/163189/wxty$订阅源
五星体育,http://bp-livetytv.bestv.cn/ch/bestvwxty.m3u8$订阅源
五星体育,http://bp-livetytv.bestv.cn/ch/bestvwxty.m3u8$订阅源

🪁动画频道,#genre#
